"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2776",57.7260820753793,45.8633932460461,69.5887709047125,39.5836651095677,75.8684990411908
"2777",56.7183344495973,44.5211974153808,68.9154714838138,38.0644230937908,75.3722458054038
"2778",57.8797946095253,45.57366422542,70.1859249936307,39.0591923096477,76.700396909403
"2779",56.9468152612068,44.5421193509871,69.3515111714265,37.9754699974912,75.9181605249224
"2780",58.9345754142205,46.4752988156931,71.393852012748,39.8797561911179,77.9893946373231
"2781",57.4309545272378,44.8999651888236,69.9619438656521,38.2664601328899,76.5954489215858
"2782",59.3075208255544,46.7502996179962,71.8647420331126,40.1029082493466,78.5121334017622
"2783",57.0152861134232,44.4200799489648,69.6104922778816,37.7525805587663,76.2779916680801
"2784",58.8015842604415,46.164150930826,71.439017590057,39.4742978296791,78.1288706912039
"2785",57.7691306511908,45.1021783647113,70.4360829376703,38.3966988717198,77.1415624306618
"2786",59.5250087261625,46.8042055152682,72.2458119370567,40.0702190648669,78.979798387458
"2787",58.4056240587165,45.6477510961348,71.1634970212982,38.8941411045589,77.9171070128741
"2788",58.9802367369081,46.1623464391324,71.7981270346837,39.3769651894618,78.5835082843543
"2789",58.4244167633612,45.5830319728402,71.2658015538823,38.7852134899868,78.0636200367357
"2790",58.6383933335434,45.7228828946268,71.55390377246,38.8858246638073,78.3909620032796
"2791",59.3317924776221,46.3767358572348,72.2868490980095,39.5187431425015,79.1448418127428
"2792",59.1794473302567,46.1460689070994,72.212825753414,39.2466151344532,79.1122795260601
"2793",59.7497365512184,46.6719700564058,72.8275030460311,39.7490186580099,79.750454444427
"2794",58.5425214365635,45.3872103847847,71.6978324883424,38.4232093775508,78.6618334955763
"2795",59.6274438445962,46.4242446772876,72.8306430119048,39.4348932329966,79.8199944561959
"2796",58.829096720364,45.5504188035629,72.1077746371652,38.5211113228526,79.1370821178755
"2797",60.3140622889954,46.9598928645115,73.6682317134793,39.8906225936042,80.7375019843867
"2798",59.3714431636397,45.938648835444,72.8042374918354,38.8277570546775,79.915129272602
"2799",60.18488541801,46.6746896747633,73.6950811612567,39.5228240599114,80.8469467761086
"2800",59.0807086177807,45.5002907142929,72.6611265212684,38.3112517332832,79.8501655022781
"2801",59.9221496648487,46.2494239323436,73.5948753973537,39.0115201383528,80.8327791913446
"2802",59.8103257416635,46.0628793474582,73.5577721358688,38.7854208244843,80.8352306588427
"2803",60.405241566026,46.5469157592952,74.2635673727567,39.2107612208892,81.5997219111627
"2804",60.2209446703641,46.2813581363977,74.1605312043305,38.902186767444,81.5397025732843
"2805",59.9573213590396,45.9113777879405,74.0032649301386,38.4759044044769,81.4387383136022
"2806",60.1082607837744,45.984281081418,74.2322404861308,38.5074978654056,81.7090237021432
"2807",59.9479552590654,45.7080324388041,74.1878780793267,38.1698726436525,81.7260378744783
"2808",60.832367885488,46.4963314687907,75.1684043021854,38.9072922090825,82.7574435618936
"2809",60.3973707644237,45.9416858511822,74.8530556776653,38.2893085033688,82.5054330254787
"2810",60.8833835442534,46.3253167065405,75.4414503819663,38.6187416417492,83.1480254467576
"2811",60.0182776190456,45.3490162858987,74.6875389521925,37.5835784108589,82.4529768272323
"2812",60.7458318377182,45.9688139608452,75.5228497145911,38.1463332172567,83.3453304581797
"2813",60.42796949494,45.5344336591885,75.3215053306914,37.6502720340308,83.2056669558491
"2814",61.2599776281604,46.2372495228152,76.2827057335055,38.2846976412783,84.2352576150424
"2815",60.8265112025934,45.6865945632803,75.9664278419066,37.6720068191646,83.9810155860222
"2816",60.9856369594586,45.7173881702909,76.2538857486263,37.6348654896823,84.3364084292349
"2817",60.6235218015945,45.2430094682016,76.0040341349874,37.1010580570991,84.1459855460898
"2818",60.9217405333255,45.4049834330368,76.4384976336143,37.1909083989991,84.652572667652
"2819",61.2360838554787,45.5967453069967,76.8754224039607,37.317779574037,85.1543881369204
"2820",61.3073553517952,45.5203910898328,77.0943196137576,37.1632770247414,85.451433678849
"2821",61.4095320580957,45.4969245921298,77.3221395240617,37.0732990324953,85.7457650836962
"2822",60.9566021929976,44.9045182597929,77.0086861262024,36.4070583184008,85.5061460675944
"2823",61.2844536222388,45.105328805967,77.4635784385105,36.5406174834289,86.0282897610486
"2824",61.1490687776411,44.8241394928593,77.473998062423,36.1822439470392,86.1158936082431
"2825",61.8255122726031,45.3582567727419,78.2927677724643,36.641018279783,87.0100062654231
"2826",61.48633653459,44.8713228889961,78.1013501801838,36.075865958506,86.896807110674
"2827",61.7061580010274,44.9473546897365,78.4649613123183,36.0757801081469,87.3365358939079
"2828",61.2357487145743,44.3370365808619,78.1344608482866,35.3913987425064,87.0800986866422
"2829",61.6363221623541,44.5889797560073,78.6836645687009,35.5646618040263,87.707982520682
"2830",61.6674483888315,44.4725824766545,78.8623143010086,35.3701702980035,87.9647264796596
"2831",62.0299372151218,44.6739441531755,79.3859302770682,35.4862364137529,88.5736380164908
"2832",61.8863742025784,44.3829292070516,79.3898191981052,35.1171651290193,88.6555832761375
"2833",61.7496098033694,44.0893901672088,79.40982943953,34.7406346075623,88.7585849991765
"2834",61.7391535429568,43.9338728168986,79.544434269015,34.5083265548369,88.9699805310768
"2835",61.8303113166304,43.8633579110346,79.7972647222261,34.3522273021863,89.3083953310744
