"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2776",57.5369869246349,45.7161127425532,69.3578611067167,39.4585199432349,75.6154539060349
"2777",57.8908819014245,45.7644433341216,70.0173204687275,39.3450945202111,76.4366692826379
"2778",57.5512346994593,45.3194154460743,69.7830539528442,38.8442814666798,76.2581879322387
"2779",57.3050294666296,44.9880322301391,69.6220267031202,38.4678077502002,76.1422511830591
"2780",58.0547737899065,45.6847356029181,70.4248119768948,39.1364329398609,76.9731146399521
"2781",58.0292104193353,45.6184816422094,70.4399391964612,39.0486386818846,77.009782156786
"2782",57.4166245493299,44.9837264538379,69.8495226448219,38.402147765272,76.4311013333878
"2783",58.8613796841683,46.3828644966999,71.3398948716366,39.7771375783263,77.9456217900103
"2784",58.5581064408003,46.0323037254393,71.0839091561613,39.4015443018989,77.7146685797017
"2785",59.1527816552717,46.6027615885522,71.7028017219913,39.9591822735938,78.3463810369497
"2786",57.7213881591135,45.129667035229,70.313109282998,38.4640125140701,76.9787638041568
"2787",58.4176011854091,45.7838674909902,71.051334879828,39.0959728584142,77.739229512404
"2788",58.6133204609973,45.926901794162,71.2997391278327,39.2111174218808,78.0155235001138
"2789",58.9586664039561,46.2339595589598,71.6833732489524,39.4979066494902,78.4194261584219
"2790",58.2523701512112,45.4731398270339,71.0316004753885,38.7082239311675,77.7965163712549
"2791",59.1447956055192,46.3122575081366,71.9773337029019,39.5191221817425,78.770469029296
"2792",57.5526662180398,44.669496992355,70.4358354437245,37.8495591656547,77.2557732704248
"2793",59.2886632828831,46.3491315551982,72.228195010568,39.4993572222265,79.0779693435397
"2794",59.6737388185935,46.6653096002453,72.6821680369416,39.7790631388316,79.5684144983554
"2795",59.4117645945665,46.3410025777071,72.4825266114258,39.4217591259594,79.4017700631735
"2796",59.8327549076059,46.7005640412923,72.9649457739196,39.7488021209361,79.9167076942757
"2797",59.3347338371523,46.138461263572,72.5310064107327,39.1527765365111,79.5166911377936
"2798",59.501493063532,46.2243261914471,72.7786599356169,39.1958186094914,79.8071675175726
"2799",60.124487180494,46.775985523521,73.4729888374669,39.7097155874974,80.5392587734905
"2800",60.0533199717854,46.6265388075794,73.4801011359915,39.5188302035477,80.5878097400232
"2801",60.5728878732075,47.0714066691055,74.0743690773095,39.9241542526145,81.2216214938005
"2802",60.0774535815477,46.4917143616478,73.6631928014476,39.2998584458876,80.8550487172078
"2803",59.7223182165652,46.0562177155757,73.3884187175548,38.8218211072961,80.6228153258344
"2804",59.7218565819011,45.9631931690372,73.480519994765,38.6797967150687,80.7639164487334
"2805",60.0757489099647,46.2277991674681,73.9236986524613,38.8971373856753,81.2543604342542
"2806",61.2649716435736,47.325859516199,75.2040837709483,39.9469392829249,82.5830040042224
"2807",60.2144743805195,46.188683876271,74.2402648847681,38.7638788819693,81.6650698790697
"2808",59.5538607683463,45.4267706532126,73.6809508834801,37.9483408841366,81.1593806525561
"2809",59.9441000557131,45.7171940367699,74.1710060746562,38.1859249200015,81.7022751914246
"2810",59.3895359556575,45.0581890422344,73.7208828690806,37.4716322556047,81.3074396557103
"2811",59.8840320874186,45.4563689816792,74.311695193158,37.8188254827122,81.949238692125
"2812",60.6462601238165,46.1120526398415,75.1804676077915,38.4181079539753,82.8744122936576
"2813",60.5422379386549,45.9038243683888,75.180651508921,38.1547163126081,82.9297595647018
"2814",59.393046306458,44.6395132126332,74.1465794002829,36.8294645622242,81.9566280506919
"2815",60.8213553059972,45.95794801602,75.6847625959744,38.0897354795834,83.5529751324111
"2816",60.3403197638013,45.3619758983621,75.3186636292404,37.4329196141696,83.2477199134329
"2817",61.1103669749983,46.0241722475367,76.1965617024599,38.0380231657053,84.1827107842913
"2818",60.7606817675685,45.5550981905056,75.9662653446313,37.505748469358,84.0156150657789
"2819",60.6330190372872,45.3083681490546,75.9576699255197,37.1959880007547,84.0700500738196
"2820",61.5445380578486,46.0935946698994,76.9954814457977,37.9143593106683,85.1747168050289
"2821",61.3492808626866,45.7819546143539,76.9166071110194,37.5411098903768,85.1574518349965
"2822",61.4074997665724,45.7168871066211,77.0981124265237,37.4107784986271,85.4042210345177
"2823",60.2825087642768,44.4704770261271,76.0945405024264,36.1000930407176,84.4649244878359
"2824",60.9860908795888,45.0410177922424,76.9311639669353,36.6002059707928,85.3719757883848
"2825",60.6657847895614,44.5934893670299,76.7380802120929,36.0853301094853,85.2462394696376
"2826",59.9248895328816,43.7206042357866,76.1291748299765,35.1425737592501,84.707205306513
"2827",62.0222048119971,45.6936965686655,78.3507130553287,37.0499064366326,86.9945031873616
"2828",60.3684425287419,43.9059390886055,76.8309459688783,35.1912161841098,85.5456688733741
"2829",61.4809815065491,44.8856618641879,78.0763011489104,36.1006303092596,86.8613327038387
"2830",61.2758916884032,44.5390009416819,78.0127824351245,35.6790261710837,86.8727572057227
"2831",62.3166369464921,45.4475846710875,79.1856892218967,36.5176478132954,88.1156260796888
"2832",62.9972054999697,45.9914574193637,80.0029535805758,36.9891581733801,89.0052528265594
"2833",61.8114066437974,44.6724623988861,78.9503508887086,35.5996533626946,88.0231599249002
"2834",61.5211960345117,44.2372221879789,78.8051698810446,35.0876391182585,87.954752950765
"2835",61.9045736915697,44.4802467522878,79.3289006308515,35.2563652432964,88.5527821398429
